id,unit,topic,strategy,format,language,has_code,source,style_profile,review_status
v2-0001,III,program_elements,explicar primero,single_turn,en,True,rewritten_from_v1,dominicano_suave,needs_review
v2-0002,III,data_types,explicar primero,single_turn,en,False,new,dominicano_suave,needs_review
v2-0003,III,constants,explicar primero,single_turn,en,False,new,dominicano_suave,needs_review
v2-0004,III,variables,explicar primero,single_turn,en,False,new,dominicano_suave,needs_review
v2-0005,III,operators,explicar primero,single_turn,en,True,new,dominicano_suave,needs_review
v2-0006,III,expressions,explicar primero,single_turn,en,False,new,dominicano_suave,needs_review
v2-0007,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0008,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0009,III,data_types,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0010,III,constants,explicar primero,single_turn,es,False,rewritten_from_v1,dominicano_suave,needs_review
v2-0011,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0012,III,operators,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0013,III,expressions,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0014,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0015,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0016,III,data_types,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0017,III,constants,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0018,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0019,III,operators,explicar primero,single_turn,es,False,rewritten_from_v1,dominicano_suave,needs_review
v2-0020,III,expressions,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0021,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0022,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0023,III,data_types,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0024,III,constants,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0025,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0026,III,operators,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0027,III,expressions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0028,III,type_conversions,explicar primero,single_turn,es,True,rewritten_from_v1,dominicano_suave,needs_review
v2-0029,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0030,III,data_types,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0031,III,constants,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0032,III,variables,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0033,III,operators,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0034,III,expressions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0035,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0036,III,program_elements,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0037,III,data_types,explicar primero,single_turn,es,False,rewritten_from_v1,dominicano_suave,needs_review
v2-0038,III,constants,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0039,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0040,III,operators,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0041,III,expressions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0042,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0043,III,program_elements,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0044,III,data_types,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0045,III,constants,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0046,III,variables,explicar primero,single_turn,es,False,rewritten_from_v1,dominicano_suave,needs_review
v2-0047,III,operators,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0048,III,expressions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0049,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0050,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0051,III,data_types,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0052,III,constants,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0053,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0054,III,operators,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0055,III,expressions,explicar primero,single_turn,es,True,rewritten_from_v1,dominicano_suave,needs_review
v2-0056,III,type_conversions,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0057,III,program_elements,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0058,III,data_types,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
v2-0059,III,constants,explicar primero,single_turn,es,True,new,dominicano_suave,needs_review
v2-0060,III,variables,explicar primero,single_turn,es,False,new,dominicano_suave,needs_review
